floor_category,yearmon,sales_date,flat_lease_status,floor,project_name,area_sqft,unit_price_psf,type_of_sale,property_type,completion_status,postal_district,planning_region,planning_area
"11-20 floor",201901,2019-01-24,Non-Freehold,10,"PARC BOTANNIA",850,1273,"New Sale","Executive Condominium",Uncompleted,28,"North East Region",Sengkang
"11-20 floor",201901,2019-01-24,Non-Freehold,13,"TREE HOUSE",1150,1120,Resale,"Executive Condominium",Completed,23,"West Region","Bukit Panjang"
"1-10 floor",201901,2019-01-24,Non-Freehold,7,"CARIBBEAN AT KEPPEL BAY",1300,1456,Resale,"Executive Condominium",Completed,4,"Central Region","Bukit Merah"
"1-10 floor",201901,2019-01-24,Non-Freehold,6,"AZALEA PARK CONDOMINIUM",850,923,Resale,"Executive Condominium",Completed,17,"East Region","Pasir Ris"
"11-20 floor",201901,2019-01-24,Non-Freehold,19,"STIRLING RESIDENCES",650,1786,"New Sale","Non-landed Properties",Uncompleted,3,"Central Region",Queenstown
"1-10 floor",201901,2019-01-24,Non-Freehold,2,"THE HILLFORD",400,1173,Resale,"Non-landed Properties",Completed,21,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-24,Non-Freehold,5,"AFFINITY AT SERANGOON",600,1446,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-25,Non-Freehold,6,"KINGSFORD . HILLVIEW PEAK",800,1355,"Sub Sale","Executive Condominium",Completed,23,"West Region","Bukit Batok"
"11-20 floor",201901,2019-01-25,Freehold,12,"OCEAN PARK",2100,1389,Resale,"Executive Condominium",Completed,15,"East Region",Bedok
"11-20 floor",201901,2019-01-25,Non-Freehold,13,"AFFINITY AT SERANGOON",750,1568,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-25,Freehold,16,"DE ROYALE",1250,1334,Resale,"Executive Condominium",Completed,12,"Central Region",Novena
"1-10 floor",201901,2019-01-25,Freehold,3,"CASA AL MARE",500,1610,"New Sale","Non-landed Properties",Uncompleted,17,"East Region","Pasir Ris"
"1-10 floor",201901,2019-01-25,Non-Freehold,7,"COSTA RHU",2050,1187,Resale,"Executive Condominium",Completed,15,"Central Region",Kallang
"31 - 50 floor",201901,2019-01-25,Non-Freehold,34,"SOUTH BEACH RESIDENCES",1650,3153,Resale,"Non-landed Properties",Completed,7,"Central Region","Downtown Core"
"1-10 floor",201901,2019-01-25,Non-Freehold,6,"FOURTH AVENUE RESIDENCES",950,2453,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-25,Non-Freehold,5,LAKEVILLE,550,1358,Resale,"Executive Condominium",Completed,22,"West Region","Jurong West"
"1-10 floor",201901,2019-01-25,Freehold,7,"BALLOTA PARK CONDOMINIUM",1450,782,Resale,"Executive Condominium",Completed,17,"East Region","Pasir Ris"
NULL,201901,2019-01-25,Non-Freehold,NULL,D'MANOR,2700,664,Resale,"Terrace House",Completed,16,"East Region",Bedok
"1-10 floor",201901,2019-01-25,Non-Freehold,5,"THE CANOPY",1200,737,Resale,"Executive Condominium",Completed,27,"North Region",Yishun
"11-20 floor",201901,2019-01-25,Freehold,12,"SUITES @ AMBER",900,1541,Resale,"Non-landed Properties",Completed,15,"Central Region","Marine Parade"
"1-10 floor",201901,2019-01-25,Non-Freehold,1,"KANDIS RESIDENCE",750,1238,"New Sale","Executive Condominium",Uncompleted,27,"North Region",Sembawang
NULL,201901,2019-01-25,Freehold,NULL,N.A.,1500,1300,Resale,"Terrace House",Completed,13,"Central Region",Geylang
NULL,201901,2019-01-25,Non-Freehold,NULL,"LUXUS HILLS",1600,1787,Resale,"Terrace House",Completed,28,"North East Region",Serangoon
"11-20 floor",201901,2019-01-25,Freehold,17,TRILIGHT,1100,1840,Resale,"Executive Condominium",Completed,11,"Central Region",Novena
"11-20 floor",201901,2019-01-25,Non-Freehold,17,"PARC BOTANNIA",600,1436,"New Sale","Executive Condominium",Uncompleted,28,"North East Region",Sengkang
"11-20 floor",201901,2019-01-25,Non-Freehold,12,"AFFINITY AT SERANGOON",450,1689,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-25,Non-Freehold,13,"AFFINITY AT SERANGOON",450,1495,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
NULL,201901,2019-01-25,Non-Freehold,NULL,"TAI KENG VILLAS",2650,734,Resale,"Terrace House",Completed,19,"North East Region",Hougang
NULL,201901,2019-01-25,Non-Freehold,NULL,N.A.,5100,953,Resale,"Semi-Detached House",Completed,19,"North East Region",Hougang
NULL,201901,2019-01-25,Freehold,NULL,"LUCKY PARK",3800,1595,Resale,"Semi-Detached House",Completed,10,"Central Region","Bukit Timah"
"11-20 floor",201901,2019-01-25,Freehold,15,"NADIA MANSIONS",2300,1139,Resale,"Non-landed Properties",Completed,12,"Central Region",Novena
"1-10 floor",201901,2019-01-25,Non-Freehold,7,"PARC ESTA",700,1732,"New Sale","Non-landed Properties",Uncompleted,14,"Central Region",Geylang
"11-20 floor",201901,2019-01-25,Non-Freehold,13,"SOLEIL @ SINARAN",950,1722,Resale,"Executive Condominium",Completed,11,"Central Region",Novena
"11-20 floor",201901,2019-01-25,Non-Freehold,13,WATERTOWN,550,1367,"Sub Sale","Non-landed Properties",Completed,19,"North East Region",Punggol
"1-10 floor",201901,2019-01-25,Non-Freehold,4,"PARC VERA",700,1028,Resale,"Executive Condominium",Completed,19,"North East Region",Hougang
"11-20 floor",201901,2019-01-25,Non-Freehold,13,"THE FLORIDA",1300,734,Resale,"Executive Condominium",Completed,19,"North East Region",Hougang
"1-10 floor",201901,2019-01-25,Non-Freehold,4,"OASIS @ ELIAS",950,774,Resale,"Executive Condominium",Completed,18,"East Region","Pasir Ris"
"11-20 floor",201901,2019-01-25,Non-Freehold,11,"THE VALES",1050,939,Resale,"Executive Condominium",Completed,19,"North East Region",Sengkang
"11-20 floor",201901,2019-01-25,Non-Freehold,16,"COCO PALMS",750,1286,Resale,"Executive Condominium",Completed,18,"East Region","Pasir Ris"
"1-10 floor",201901,2019-01-25,Freehold,3,"CASA AL MARE",1100,1567,"New Sale","Non-landed Properties",Uncompleted,17,"East Region","Pasir Ris"
"1-10 floor",201901,2019-01-25,Freehold,2,"RV SUITES",700,1401,Resale,"Non-landed Properties",Completed,10,"Central Region",Tanglin
"11-20 floor",201901,2019-01-25,Freehold,14,"JUI RESIDENCES",450,1752,"New Sale","Non-landed Properties",Uncompleted,12,"Central Region",Kallang
"1-10 floor",201901,2019-01-25,Non-Freehold,3,"IVORY HEIGHTS",1650,905,Resale,"Executive Condominium",Completed,22,"West Region","Jurong East"
"1-10 floor",201901,2019-01-25,Freehold,3,"SUITES @ KOVAN",350,1530,Resale,"Non-landed Properties",Completed,19,"North East Region",Hougang
"1-10 floor",201901,2019-01-25,Non-Freehold,8,"GUILIN VIEW",850,829,Resale,"Executive Condominium",Completed,23,"West Region","Bukit Batok"
NULL,201901,2019-01-25,Freehold,NULL,"FRANKEL ESTATE",3100,1317,Resale,"Semi-Detached House",Completed,15,"East Region",Bedok
"1-10 floor",201901,2019-01-25,Non-Freehold,8,"MARINA ONE RESIDENCES",700,2556,"New Sale","Non-landed Properties",Completed,1,"Central Region","Downtown Core"
"1-10 floor",201901,2019-01-25,Non-Freehold,6,"KANDIS RESIDENCE",950,1296,"New Sale","Executive Condominium",Uncompleted,27,"North Region",Sembawang
"11-20 floor",201901,2019-01-25,Non-Freehold,16,"YEW MEI GREEN",1300,705,Resale,"Executive Condominium",Completed,23,"West Region","Choa Chu Kang"
"1-10 floor",201901,2019-01-25,Non-Freehold,9,WINDERMERE,1450,640,Resale,"Executive Condominium",Completed,23,"West Region","Choa Chu Kang"
"11-20 floor",201901,2019-01-25,Non-Freehold,15,"KOVAN RESIDENCES",900,1473,Resale,"Executive Condominium",Completed,19,"North East Region",Hougang
"11-20 floor",201901,2019-01-25,Non-Freehold,11,PRIVE,850,1026,Resale,"Executive Condominium",Completed,19,"North East Region",Punggol
"11-20 floor",201901,2019-01-25,Non-Freehold,17,"JERVOIS JADE APARTMENTS",2250,960,Resale,"Non-landed Properties",Completed,10,"Central Region",Tanglin
"1-10 floor",201901,2019-01-25,Non-Freehold,9,"AFFINITY AT SERANGOON",600,1465,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-25,Non-Freehold,14,CITYLIGHTS,700,1578,Resale,"Executive Condominium",Completed,8,"Central Region",Kallang
"1-10 floor",201901,2019-01-25,Non-Freehold,4,"PARC ESTA",850,1525,"New Sale","Non-landed Properties",Uncompleted,14,"Central Region",Geylang
"11-20 floor",201901,2019-01-25,Freehold,13,"ARENA RESIDENCES",800,1895,"New Sale","Non-landed Properties",Uncompleted,14,"Central Region",Geylang
"11-20 floor",201901,2019-01-25,Freehold,10,"368 THOMSON",1700,1536,Resale,"Executive Condominium",Completed,11,"Central Region",Novena
"1-10 floor",201901,2019-01-25,Non-Freehold,4,"THE MILTONIA RESIDENCES",850,941,Resale,"Executive Condominium",Completed,27,"North Region",Yishun
"31 - 50 floor",201901,2019-01-25,Non-Freehold,34,"SOUTH BEACH RESIDENCES",1600,3487,Resale,"Non-landed Properties",Completed,7,"Central Region","Downtown Core"
"11-20 floor",201901,2019-01-25,Non-Freehold,16,KERRISDALE,1250,1072,Resale,"Executive Condominium",Completed,8,"Central Region",Kallang
"11-20 floor",201901,2019-01-25,Non-Freehold,12,"TANGLIN VIEW",1150,1385,Resale,"Executive Condominium",Completed,3,"Central Region","Bukit Merah"
"11-20 floor",201901,2019-01-25,Non-Freehold,14,ECHELON,1300,1774,Resale,"Executive Condominium",Completed,3,"Central Region","Bukit Merah"
"1-10 floor",201901,2019-01-25,Non-Freehold,7,"HEDGES PARK CONDOMINIUM",1000,879,Resale,"Executive Condominium",Completed,17,"East Region","Pasir Ris"
"11-20 floor",201901,2019-01-26,Non-Freehold,12,"AFFINITY AT SERANGOON",450,1503,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-26,Non-Freehold,15,"WHISTLER GRAND",450,1529,"New Sale","Non-landed Properties",Uncompleted,5,"West Region",Clementi
"11-20 floor",201901,2019-01-26,Non-Freehold,10,"AFFINITY AT SERANGOON",450,1491,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-26,Non-Freehold,3,"FOURTH AVENUE RESIDENCES",450,2331,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-26,Non-Freehold,1,"AFFINITY AT SERANGOON",550,1401,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-26,Non-Freehold,15,"THE TRE VER",1100,1617,"New Sale","Executive Condominium",Uncompleted,13,"Central Region","Toa Payoh"
"11-20 floor",201901,2019-01-26,Non-Freehold,14,"AFFINITY AT SERANGOON",450,1501,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-26,Freehold,15,"AMBER 45",1350,2038,"New Sale","Non-landed Properties",Uncompleted,15,"Central Region","Marine Parade"
"11-20 floor",201901,2019-01-26,Non-Freehold,13,"AFFINITY AT SERANGOON",750,1649,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-26,Non-Freehold,11,"AFFINITY AT SERANGOON",600,1509,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-26,Non-Freehold,15,"RIVERFRONT RESIDENCES",600,1387,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Hougang
"1-10 floor",201901,2019-01-26,Non-Freehold,6,"PARK COLONIAL",1000,1715,"New Sale","Executive Condominium",Uncompleted,13,"Central Region","Toa Payoh"
"11-20 floor",201901,2019-01-26,Non-Freehold,11,"PARC ESTA",650,1661,"New Sale","Non-landed Properties",Uncompleted,14,"Central Region",Geylang
"1-10 floor",201901,2019-01-26,Non-Freehold,1,"MARTIN MODERN",1800,2789,"New Sale","Executive Condominium",Uncompleted,9,"Central Region","River Valley"
"11-20 floor",201901,2019-01-26,Non-Freehold,11,"RIVERFRONT RESIDENCES",900,1353,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Hougang
"1-10 floor",201901,2019-01-26,Non-Freehold,5,"STIRLING RESIDENCES",1000,1700,"New Sale","Non-landed Properties",Uncompleted,3,"Central Region",Queenstown
"11-20 floor",201901,2019-01-26,Non-Freehold,19,"MARTIN MODERN",750,2773,"New Sale","Executive Condominium",Uncompleted,9,"Central Region","River Valley"
"21 - 30 floor",201901,2019-01-26,Non-Freehold,26,"SEASIDE RESIDENCES",1100,2049,"New Sale","Non-landed Properties",Uncompleted,15,"East Region",Bedok
"1-10 floor",201901,2019-01-26,Non-Freehold,5,"MAYFAIR GARDENS",750,2040,"New Sale","Executive Condominium",Uncompleted,21,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-27,Non-Freehold,7,"FOURTH AVENUE RESIDENCES",700,2503,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-27,Non-Freehold,7,"AFFINITY AT SERANGOON",600,1648,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-27,Non-Freehold,19,"WHISTLER GRAND",600,1459,"New Sale","Non-landed Properties",Uncompleted,5,"West Region",Clementi
"11-20 floor",201901,2019-01-27,Non-Freehold,11,"AFFINITY AT SERANGOON",750,1554,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-27,Non-Freehold,11,"AFFINITY AT SERANGOON",600,1648,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-27,Non-Freehold,4,"KENT RIDGE HILL RESIDENCES",650,1730,"New Sale","Non-landed Properties",Uncompleted,5,"Central Region",Queenstown
"1-10 floor",201901,2019-01-27,Non-Freehold,8,"AFFINITY AT SERANGOON",600,1460,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-27,Non-Freehold,2,"AFFINITY AT SERANGOON",450,1486,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-27,Non-Freehold,8,"AFFINITY AT SERANGOON",600,1656,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-27,Non-Freehold,2,"KENT RIDGE HILL RESIDENCES",450,1685,"New Sale","Non-landed Properties",Uncompleted,5,"Central Region",Queenstown
"1-10 floor",201901,2019-01-27,Non-Freehold,7,"AFFINITY AT SERANGOON",1100,1474,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-27,Non-Freehold,13,"AFFINITY AT SERANGOON",600,1663,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-27,Non-Freehold,9,"AFFINITY AT SERANGOON",600,1501,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-27,Non-Freehold,6,"AFFINITY AT SERANGOON",850,1496,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-27,Non-Freehold,8,"THE TRE VER",1100,1549,"New Sale","Executive Condominium",Uncompleted,13,"Central Region","Toa Payoh"
"1-10 floor",201901,2019-01-27,Freehold,8,"THE ADDITION",950,1604,"New Sale","Non-landed Properties",Uncompleted,13,"Central Region","Toa Payoh"
"11-20 floor",201901,2019-01-27,Non-Freehold,10,"AFFINITY AT SERANGOON",600,1470,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-27,Non-Freehold,6,"AFFINITY AT SERANGOON",850,1502,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-27,Non-Freehold,4,"WHISTLER GRAND",600,1341,"New Sale","Non-landed Properties",Uncompleted,5,"West Region",Clementi
"11-20 floor",201901,2019-01-27,Non-Freehold,14,"AFFINITY AT SERANGOON",450,1548,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"21 - 30 floor",201901,2019-01-28,Freehold,23,"THE SEAFRONT ON MEYER",4300,1816,Resale,"Executive Condominium",Completed,15,"Central Region","Marine Parade"
"11-20 floor",201901,2019-01-28,Non-Freehold,16,"RIVER ISLES",950,998,Resale,"Executive Condominium",Completed,19,"North East Region",Punggol
"11-20 floor",201901,2019-01-28,Non-Freehold,16,"PARC BOTANNIA",850,1325,"New Sale","Executive Condominium",Uncompleted,28,"North East Region",Sengkang
"1-10 floor",201901,2019-01-28,Non-Freehold,7,"MARGARET VILLE",850,1656,"New Sale","Non-landed Properties",Uncompleted,3,"Central Region",Queenstown
"1-10 floor",201901,2019-01-28,Non-Freehold,2,"PARC ESTA",450,1759,"New Sale","Non-landed Properties",Uncompleted,14,"Central Region",Geylang
"11-20 floor",201901,2019-01-28,Non-Freehold,11,"THE GARDEN RESIDENCES",1100,1678,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-28,Freehold,9,"BELMOND GREEN",1300,1866,Resale,"Executive Condominium",Completed,10,"Central Region",Tanglin
"11-20 floor",201901,2019-01-28,Non-Freehold,13,"YISHUN EMERALD",1200,718,Resale,"Executive Condominium",Completed,27,"North Region",Yishun
"1-10 floor",201901,2019-01-28,Non-Freehold,4,"BLUWATERS 2",950,918,Resale,"Executive Condominium",Completed,17,"East Region","Pasir Ris"
"1-10 floor",201901,2019-01-28,Non-Freehold,8,"CASTLE GREEN",950,874,Resale,"Executive Condominium",Completed,26,"North East Region","Ang Mo Kio"
NULL,201901,2019-01-28,Non-Freehold,NULL,"REGENT VILLAS",2850,1217,Resale,"Semi-Detached House",Completed,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-28,Non-Freehold,3,"MONTEREY PARK CONDOMINIUM",1350,1200,Resale,"Executive Condominium",Completed,5,"West Region",Clementi
"31 - 50 floor",201901,2019-01-28,Freehold,39,RIVERGATE,1800,2142,Resale,"Non-landed Properties",Completed,9,"Central Region","Singapore River"
"11-20 floor",201901,2019-01-28,Non-Freehold,17,"PARC ESTA",400,1951,"New Sale","Non-landed Properties",Uncompleted,14,"Central Region",Geylang
"11-20 floor",201901,2019-01-28,Non-Freehold,12,"PARC ESTA",700,1726,"New Sale","Non-landed Properties",Uncompleted,14,"Central Region",Geylang
NULL,201901,2019-01-28,Non-Freehold,NULL,"LOYANG VILLAS",1650,874,Resale,"Terrace House",Completed,17,"East Region","Pasir Ris"
"11-20 floor",201901,2019-01-28,Non-Freehold,12,"RIVERFRONT RESIDENCES",450,1404,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Hougang
"21 - 30 floor",201901,2019-01-28,Non-Freehold,29,"CLOVER BY THE PARK",1750,1231,Resale,"Executive Condominium",Completed,20,"Central Region",Bishan
NULL,201901,2019-01-28,Freehold,NULL,N.A.,1850,1962,Resale,"Terrace House",Completed,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-28,Non-Freehold,2,CASPIAN,1200,1036,Resale,"Executive Condominium",Completed,22,"West Region","Jurong West"
"1-10 floor",201901,2019-01-28,Non-Freehold,3,"THE CANOPY",1400,816,Resale,"Executive Condominium",Completed,27,"North Region",Yishun
"1-10 floor",201901,2019-01-28,Freehold,6,"THE SUNNY SPRING",1200,1132,Resale,"Non-landed Properties",Completed,14,"Central Region",Geylang
"1-10 floor",201901,2019-01-28,Non-Freehold,9,"AFFINITY AT SERANGOON",600,1573,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-28,Freehold,13,"ARENA RESIDENCES",600,1846,"New Sale","Non-landed Properties",Uncompleted,14,"Central Region",Geylang
"1-10 floor",201901,2019-01-28,Freehold,2,N.A.,1100,1530,Resale,"Executive Condominium",Completed,10,"Central Region","Bukit Timah"
"11-20 floor",201901,2019-01-28,Non-Freehold,12,"AFFINITY AT SERANGOON",600,1478,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-28,Freehold,7,SUMMERHILL,1450,1280,Resale,"Executive Condominium",Completed,21,"West Region","Bukit Batok"
"1-10 floor",201901,2019-01-28,Non-Freehold,7,RIVERSAILS,1100,1055,Resale,"Executive Condominium",Completed,19,"North East Region",Hougang
"1-10 floor",201901,2019-01-28,Freehold,6,"CENTRA SUITES",450,1405,Resale,"Non-landed Properties",Completed,14,"Central Region",Geylang
"1-10 floor",201901,2019-01-28,Non-Freehold,4,"THE GARDEN RESIDENCES",500,1456,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
NULL,201901,2019-01-28,Freehold,NULL,N.A.,8100,1259,Resale,"Detached House",Completed,5,"West Region",Clementi
"1-10 floor",201901,2019-01-28,Non-Freehold,5,"THE NAUTICAL",1800,811,Resale,"Executive Condominium",Completed,27,"North Region",Sembawang
"11-20 floor",201901,2019-01-28,Freehold,12,"111 EMERALD HILL",3650,2012,Resale,"Non-landed Properties",Completed,9,"Central Region",Newton
"21 - 30 floor",201901,2019-01-28,Non-Freehold,20,"THOMSON GRAND",2150,1214,Resale,"Executive Condominium",Completed,20,"Central Region",Bishan
"11-20 floor",201901,2019-01-28,Non-Freehold,12,"EIGHT RIVERSUITES",950,1324,Resale,"Executive Condominium",Completed,12,"Central Region",Kallang
"1-10 floor",201901,2019-01-28,Non-Freehold,2,"DAINTREE RESIDENCE",600,1652,"New Sale","Executive Condominium",Uncompleted,21,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-28,Freehold,5,"PARC ELEGANCE",850,1080,Resale,"Non-landed Properties",Completed,15,"East Region",Bedok
"1-10 floor",201901,2019-01-28,Non-Freehold,1,"MAYFAIR GARDENS",650,1926,"New Sale","Executive Condominium",Uncompleted,21,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-28,Non-Freehold,5,"FOURTH AVENUE RESIDENCES",1500,2428,"New Sale","Non-landed Properties",Uncompleted,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-28,Non-Freehold,4,"ARC AT TAMPINES",800,902,Resale,"Executive Condominium",Completed,18,"East Region",Tampines
"1-10 floor",201901,2019-01-28,Non-Freehold,7,"THE TRE VER",500,1541,"New Sale","Executive Condominium",Uncompleted,13,"Central Region","Toa Payoh"
"11-20 floor",201901,2019-01-28,Non-Freehold,10,"BEDOK RESIDENCES",1150,1511,Resale,"Non-landed Properties",Completed,16,"East Region",Bedok
"1-10 floor",201901,2019-01-28,Non-Freehold,9,"BARTLEY RESIDENCES",1100,1239,Resale,"Non-landed Properties",Completed,19,"North East Region",Serangoon
NULL,201901,2019-01-28,Non-Freehold,NULL,"NICON GARDENS",1950,645,Resale,"Executive Condominium",Completed,23,"West Region","Bukit Batok"
"1-10 floor",201901,2019-01-28,Freehold,4,"NINETEEN SHELFORD ROAD",750,1493,Resale,"Executive Condominium",Completed,11,"Central Region","Bukit Timah"
"11-20 floor",201901,2019-01-28,Non-Freehold,12,WOODSVALE,1250,652,Resale,"Executive Condominium",Completed,25,"North Region",Woodlands
"1-10 floor",201901,2019-01-28,Non-Freehold,9,"THE CREST",1200,1774,Resale,"Executive Condominium",Completed,3,"Central Region","Bukit Merah"
"1-10 floor",201901,2019-01-29,Freehold,2,"CHANGI COURT",950,1012,Resale,"Executive Condominium",Completed,16,"East Region",Tampines
"1-10 floor",201901,2019-01-29,Freehold,3,"CASA CAMBIO",500,1531,Resale,"Executive Condominium",Completed,19,"North East Region",Serangoon
"11-20 floor",201901,2019-01-29,Non-Freehold,17,"THE TRE VER",700,1645,"New Sale","Executive Condominium",Uncompleted,13,"Central Region","Toa Payoh"
"1-10 floor",201901,2019-01-29,Non-Freehold,9,D'NEST,750,1095,Resale,"Executive Condominium",Completed,18,"East Region","Pasir Ris"
NULL,201901,2019-01-29,Non-Freehold,NULL,"EASTWOOD PARK",2900,773,Resale,"Terrace House",Completed,16,"East Region",Bedok
"1-10 floor",201901,2019-01-29,Freehold,3,HILLVISTA,1150,1283,Resale,"Executive Condominium",Completed,23,"West Region","Bukit Batok"
"11-20 floor",201901,2019-01-29,Freehold,18,"PLATINUM EDGE",2150,906,Resale,"Non-landed Properties",Completed,13,"Central Region","Toa Payoh"
"1-10 floor",201901,2019-01-29,Non-Freehold,9,ECHELON,750,1947,Resale,"Executive Condominium",Completed,3,"Central Region","Bukit Merah"
"1-10 floor",201901,2019-01-29,Freehold,6,"THE MORNINGTON",1200,913,Resale,"Non-landed Properties",Completed,12,"Central Region",Kallang
NULL,201901,2019-01-29,Freehold,NULL,N.A.,2300,1157,Resale,"Terrace House",Completed,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-29,Freehold,6,"AVA TOWERS",1250,994,Resale,"Non-landed Properties",Completed,12,"Central Region",Novena
"11-20 floor",201901,2019-01-29,Non-Freehold,19,"THE QUARTZ",1050,952,Resale,"Executive Condominium",Completed,19,"North East Region",Sengkang
"1-10 floor",201901,2019-01-29,Non-Freehold,9,"THE BAYSHORE",950,950,Resale,"Executive Condominium",Completed,16,"East Region",Bedok
"11-20 floor",201901,2019-01-29,Freehold,14,"ARENA RESIDENCES",1300,1317,"New Sale","Non-landed Properties",Uncompleted,14,"Central Region",Geylang
"1-10 floor",201901,2019-01-29,Freehold,3,"THE ASANA",750,2261,Resale,"Non-landed Properties",Completed,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-29,Freehold,7,"THE ANCHORAGE",1500,1473,Resale,"Executive Condominium",Completed,3,"Central Region",Queenstown
"1-10 floor",201901,2019-01-29,Non-Freehold,1,"PALM ISLES",850,929,Resale,"Executive Condominium",Completed,17,"East Region","Pasir Ris"
"11-20 floor",201901,2019-01-29,Non-Freehold,11,"CRAIG PLACE",750,1818,Resale,"Non-landed Properties",Completed,2,"Central Region",Outram
"31 - 50 floor",201901,2019-01-29,Freehold,34,"8 SAINT THOMAS",800,3512,Resale,"Executive Condominium",Completed,9,"Central Region","River Valley"
"1-10 floor",201901,2019-01-29,Freehold,3,"FERRARIA PARK CONDOMINIUM",950,884,Resale,"Executive Condominium",Completed,17,"East Region","Pasir Ris"
"1-10 floor",201901,2019-01-29,Non-Freehold,5,"AFFINITY AT SERANGOON",850,1475,"New Sale","Non-landed Properties",Uncompleted,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-29,Non-Freehold,1,"THE PALETTE",1000,887,Resale,"Executive Condominium",Completed,18,"East Region","Pasir Ris"
"11-20 floor",201901,2019-01-29,Non-Freehold,16,"EIGHT RIVERSUITES",850,1441,Resale,"Executive Condominium",Completed,12,"Central Region",Kallang
"1-10 floor",201901,2019-01-29,Non-Freehold,5,"MAYFAIR GARDENS",850,1807,"New Sale","Executive Condominium",Uncompleted,21,"Central Region","Bukit Timah"
NULL,201901,2019-01-29,Freehold,NULL,N.A.,4900,1308,Resale,"Semi-Detached House",Completed,11,"Central Region",Novena
"11-20 floor",201901,2019-01-29,Freehold,15,"RICHMOND PARK",1250,2477,Resale,"Executive Condominium",Completed,9,"Central Region",Newton
"1-10 floor",201901,2019-01-29,Freehold,3,PARVIS,1700,1929,Resale,"Executive Condominium",Completed,10,"Central Region","Bukit Timah"
"11-20 floor",201901,2019-01-29,Non-Freehold,16,"SIMS URBAN OASIS",600,1578,Resale,"Executive Condominium",Completed,14,"Central Region",Geylang
